ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",39,"Safford, AZ","31000US40940","safford-az-31000US40940",46,0.0012106537530266344
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",241,"Safford, AZ","31000US40940","safford-az-31000US40940",701,0.018449310453731972
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",204.65825172711703,"Safford, AZ","31000US40940","safford-az-31000US40940",391,0.010290556900726392
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",239.0020920410531,"Safford, AZ","31000US40940","safford-az-31000US40940",704,0.018528266133277186
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",26,"Safford, AZ","31000US40940","safford-az-31000US40940",19286,0.5091475487737269
0,"White Alone",1,"Hispanic or Latino",2018,"2018",400,"Safford, AZ","31000US40940","safford-az-31000US40940",10631,0.2806568283217614
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",73,"Safford, AZ","31000US40940","safford-az-31000US40940",683,0.018031099025845456
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",76,"Safford, AZ","31000US40940","safford-az-31000US40940",69,0.001821589799097125
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",150,"Safford, AZ","31000US40940","safford-az-31000US40940",4745,0.12526729850312837
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",50,"Safford, AZ","31000US40940","safford-az-31000US40940",63,0.0016631906861321578
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",50,"Safford, AZ","31000US40940","safford-az-31000US40940",246,0.006494363631563663
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",37,"Safford, AZ","31000US40940","safford-az-31000US40940",51,0.001346392460202223
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",322,"Safford, AZ","31000US40940","safford-az-31000US40940",996,0.026294252752184586
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",144.3606594609487,"Safford, AZ","31000US40940","safford-az-31000US40940",415,0.010955938646743579
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",247.54191564258366,"Safford, AZ","31000US40940","safford-az-31000US40940",694,0.018321497399614563
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",26,"Safford, AZ","31000US40940","safford-az-31000US40940",19292,0.5117241379310344
0,"White Alone",1,"Hispanic or Latino",2017,"2017",402,"Safford, AZ","31000US40940","safford-az-31000US40940",10490,0.2782493368700265
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",66,"Safford, AZ","31000US40940","safford-az-31000US40940",695,0.01843501326259947
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",63.00000000000001,"Safford, AZ","31000US40940","safford-az-31000US40940",55,0.0014588859416445623
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",225.99999999999997,"Safford, AZ","31000US40940","safford-az-31000US40940",4735,0.12559681697612732
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",145,"Safford, AZ","31000US40940","safford-az-31000US40940",239,0.0063395225464190985
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",25,"Safford, AZ","31000US40940","safford-az-31000US40940",279,0.0074005305039787795
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",46,"Safford, AZ","31000US40940","safford-az-31000US40940",59,0.0015649867374005306
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",26,"Safford, AZ","31000US40940","safford-az-31000US40940",0,0
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",298,"Safford, AZ","31000US40940","safford-az-31000US40940",878,0.023289124668435014
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",246.37572932413613,"Safford, AZ","31000US40940","safford-az-31000US40940",376,0.009973474801061009
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",216.9331694324314,"Safford, AZ","31000US40940","safford-az-31000US40940",602,0.01596816976127321
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",22,"Safford, AZ","31000US40940","safford-az-31000US40940",19313,0.5146153641184151
0,"White Alone",1,"Hispanic or Latino",2016,"2016",383,"Safford, AZ","31000US40940","safford-az-31000US40940",10287,0.2741080231287804
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",71,"Safford, AZ","31000US40940","safford-az-31000US40940",680,0.01811932105838152
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",64,"Safford, AZ","31000US40940","safford-az-31000US40940",61,0.001625409683178342
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",209,"Safford, AZ","31000US40940","safford-az-31000US40940",4741,0.12632897226145115
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",115.99999999999999,"Safford, AZ","31000US40940","safford-az-31000US40940",200,0.005329212075994564
